Metric,IN,OUT,TOTAL
MAE,51.02711479569558,26.267487529768932,66.54384446553702
RMSE,72.31283011987163,35.4460165669366,88.0387043656904
R2,0.2021038502702689,0.5993078686465828,0.5639025970014939
