datetime,predicted_traffic,lower_ci,upper_ci,hour,is_weekend
2025-09-28 00:00:00,-2.7632625899631407,-149.08657670932027,143.56005152939397,0,1
2025-09-28 01:00:00,-29.179381036440468,-201.6456342668911,143.28687219401016,1,1
2025-09-28 02:00:00,-51.69124154766854,-237.3565984752481,133.974115379911,2,1
2025-09-28 03:00:00,-67.73596726705372,-260.4864309076206,125.0144963735132,3,1
2025-09-28 04:00:00,-75.48126507845619,-272.1369127260637,121.17438256915132,4,1
2025-09-28 05:00:00,-73.87873296719573,-272.7152765173166,124.95781058292516,5,1
2025-09-28 06:00:00,-62.68141331793078,-262.7443732365689,137.3815466007073,6,1
2025-09-28 07:00:00,-42.42003433455939,-243.1752755265839,158.33520685746515,7,1
2025-09-28 08:00:00,-14.336273896660153,-215.48311118216438,186.8105633888441,8,1
2025-09-28 09:00:00,19.7248800339063,-181.64372819163182,221.0934882594444,9,1
2025-09-28 10:00:00,57.85479382660638,-143.6394921797134,259.3490798329262,10,1
2025-09-28 11:00:00,96.96391362521099,-104.6016207373438,298.52944798776576,11,1
2025-09-28 12:00:00,134.7179647801199,-66.88796974844905,336.32389930868885,12,1
2025-09-28 13:00:00,167.2450379090609,-34.383807592906464,368.87388341102826,13,1
2025-09-28 14:00:00,193.91969184955104,-7.722147371009186,395.5615310701113,14,1
2025-09-28 15:00:00,211.72278592425533,10.073577168247851,413.3719946802628,15,1
2025-09-28 16:00:00,219.5316082880929,17.878219724790938,421.1849968513949,16,1
2025-09-28 17:00:00,217.38720671453524,15.731447444734755,419.04296598433575,17,1
2025-09-28 18:00:00,206.167710829186,4.510606930694195,407.8248147276778,18,1
2025-09-28 19:00:00,183.42646903997365,-18.231397514514384,385.08433559446166,19,1
2025-09-28 20:00:00,151.27928484788615,-50.3790142761936,352.93758397196586,20,1
2025-09-28 21:00:00,114.01181810130224,-87.6467263715226,315.67036257412707,21,1
2025-09-28 22:00:00,71.77491431315546,-129.88376931889758,273.43359794520853,22,1
2025-09-28 23:00:00,29.333003075695345,-172.3257594860412,230.99176563743185,23,1
2025-09-29 00:00:00,-78.44585351423918,-280.10675738417183,123.21505035569349,0,0
2025-09-29 01:00:00,-115.451302446926,-317.113090489786,86.210485595934,1,0
2025-09-29 02:00:00,-145.952421115896,-347.6147106510979,55.70986841930588,2,0
2025-09-29 03:00:00,-168.00907782728015,-369.6716518033817,33.65349614882135,3,0
2025-09-29 04:00:00,-180.25851307727356,-381.92124838523773,21.404222230690635,4,0
2025-09-29 05:00:00,-182.0077412607382,-383.67056807446824,19.655085552991864,5,0
2025-09-29 06:00:00,-173.28042395968276,-374.943302674552,28.382454755186444,6,0
2025-09-29 07:00:00,-154.81499194410057,-356.47790009677226,46.84791620857115,7,0
2025-09-29 08:00:00,-128.01412238080468,-329.6770472303024,73.64880246869305,8,0
2025-09-29 09:00:00,-94.8489981127688,-296.5119324325391,106.81393620700148,9,0
2025-09-29 10:00:00,-57.73209306436728,-259.3950327555815,143.93084662684697,10,0
2025-09-29 11:00:00,-19.329697968874985,-220.99264070671856,182.33324476896857,11,0
2025-09-29 12:00:00,17.588560265290532,-184.0743842005708,219.25150473115187,12,0
2025-09-29 13:00:00,50.38335826083211,-151.27958718514367,252.04630370680786,13,0
2025-09-29 14:00:00,76.64325579724604,-125.01969020464085,278.30620179913296,14,0
2025-09-29 15:00:00,94.45275814109152,-107.21018817610263,296.1157044582857,15,0
2025-09-29 16:00:00,102.4484558020652,-99.21449069396807,304.1114022980985,16,0
2025-09-29 17:00:00,99.92675262617239,-101.73619397129663,301.5896992236414,17,0
2025-09-29 18:00:00,86.89776495065159,-114.76518170435078,288.560711605654,18,0
2025-09-29 19:00:00,64.1594637739132,-137.50348291372154,265.8224104615479,19,0
2025-09-29 20:00:00,33.10254043404115,-168.5604062721023,234.7654871401846,20,0
2025-09-29 21:00:00,-4.343349181398512,-206.00629589803995,197.31959753524293,21,0
2025-09-29 22:00:00,-45.731436523620545,-247.39438324621634,155.93151019897525,22,0
2025-09-29 23:00:00,-88.42428257325065,-290.0872292992237,113.23866415272238,23,0
2025-09-30 00:00:00,-120.21603287205598,-321.87898005772536,81.44691431361342,0,0
2025-09-30 01:00:00,-157.28719438692164,-358.95014174677635,44.37575297293304,1,0
2025-09-30 02:00:00,-187.83754324291468,-389.5004907015655,13.825404215736171,2,0
2025-09-30 03:00:00,-209.93136629236952,-411.59431380705655,-8.268418777682513,3,0
2025-09-30 04:00:00,-222.20922203340672,-423.87216957987687,-20.54627448693654,4,0
2025-09-30 05:00:00,-223.98059087187903,-425.6435384363763,-22.317643307381758,5,0
2025-09-30 06:00:00,-215.27093783870836,-416.9338854134304,-13.607990263986295,6,0
2025-09-30 07:00:00,-196.81998091665145,-398.4829284971729,4.8429666638700155,7,0
2025-09-30 08:00:00,-170.03128328874845,-371.6942308725593,31.631664295062365,8,0
2025-09-30 09:00:00,-136.87660494055305,-338.5395525262296,64.78634264512348,9,0
2025-09-30 10:00:00,-99.76140020186523,-301.42434778859996,101.9015473848695,10,0
2025-09-30 11:00:00,-61.36131028610088,-263.0242578734358,140.30163730123402,11,0
2025-09-30 12:00:00,-24.43925316477648,-226.10220075245186,177.2236944228989,12,0
2025-09-30 13:00:00,8.342046308254297,-193.32090127961413,210.00499389612276,13,0
2025-09-30 14:00:00,34.60301728700466,-167.0599303009733,236.26596487498261,14,0
2025-09-30 15:00:00,52.407515470216275,-149.2554321178238,254.07046305825637,15,0
2025-09-30 16:00:00,60.39612483056994,-141.26682275750537,262.05907241864526,16,0
2025-09-30 17:00:00,57.87852951081034,-143.78441807728495,259.54147709890566,17,0
2025-09-30 18:00:00,44.8804492585164,-156.78249832959023,246.543396846623,18,0
2025-09-30 19:00:00,22.14052219178507,-179.522425396328,223.80346977989814,19,0
2025-09-30 20:00:00,-8.937465568893128,-210.60041315700983,192.7254820192236,20,0
2025-09-30 21:00:00,-46.38099351608117,-248.04394110419992,155.2819540720376,21,0
2025-09-30 22:00:00,-87.78523017812972,-289.4481777662496,113.8777174099902,22,0
2025-09-30 23:00:00,-130.47400637434077,-332.13695396246135,71.18894121377983,23,0
